company,year,section_title,text
Chevron,2023,Safety and Workforce Wellbeing,"The company expanded programs focused on worker safety, emergency preparedness, and mental-health support across its global workforce."
Citi,2023,Sustainable Finance Commitments,"Citi advanced its sustainable finance goals by directing capital toward climate solutions, low-carbon infrastructure, and inclusive economic growth initiatives."
Citi,2023,Net-Zero Transition Planning,"The bank continued refining its net-zero transition plan by assessing sector-level pathways, engaging clients on decarbonization strategies, and improving emissions transparency."
Citi,2023,Climate Risk Management,"Citi integrated climate scenario analysis and risk assessments into business decision-making, considering physical and transition risks across global operations."
Citi,2023,Operational Emissions Reductions,"The bank expanded renewable-energy sourcing and implemented energy-efficiency upgrades across branches and offices to reduce Scope 1 and 2 emissions."
Citi,2023,Diversity and Economic Inclusion,"Citi supported programs to advance racial equity, financial inclusion, and community development, including small-business lending and affordable housing initiatives."
Citi,2023,Sustainable Supply Chain,"The company engaged suppliers on environmental reporting, responsible sourcing, and performance improvements aligned with Citi’s sustainability principles."
Citi,2023,Resilience and Disaster Response,"Citi expanded funding for climate resilience, supporting communities recovering from natural disasters and extreme weather impacts."
Citi,2023,Human Rights and Governance,"Citi strengthened human-rights due-diligence processes, focusing on transparency, worker protections, and responsible business practices."
NVIDIA,2023,Data Center Efficiency,"NVIDIA advanced energy-efficient computing by designing chips and systems optimized for high performance with lower power consumption, reducing emissions intensity in AI and HPC workloads."
NVIDIA,2023,Renewable Energy Strategy,"The company increased its renewable-energy procurement across operations and data centers, supporting long-term emissions reduction goals."
NVIDIA,2023,Sustainable Product Design,"NVIDIA integrated sustainability principles into product design by improving material efficiency, reducing packaging impacts, and extending product longevity."
NVIDIA,2023,Supply Chain Responsibility,"The company strengthened oversight of suppliers on environmental, labor, and human-rights expectations, promoting higher sustainability performance across the value chain."
NVIDIA,2023,Water Stewardship,"NVIDIA implemented water-efficiency initiatives in manufacturing and data-center environments, including advanced cooling systems that lower operational water use."
NVIDIA,2023,Workforce Development,"The company expanded programs supporting skills development, diversity, and wellbeing across a rapidly growing global workforce."
NVIDIA,2023,Community Impact,"NVIDIA supported community programs focused on STEM education, disaster relief, and social impact initiatives in the regions where it operates."
NVIDIA,2023,Climate Innovation and Research,"The company invested in climate-focused research, including AI for weather modeling, environmental monitoring, and energy-optimization tools."
Tesla,2023,Zero-Emission Transportation Benefits,"Tesla highlights that pollution from burning fossil fuels contributes to premature deaths globally each year, and positions its zero direct-emission products as reducing climate-warming carbon and particulate pollution."
Tesla,2023,Global Road Safety and Autonomy,"The report cites that 1.19 million people die in traffic accidents annually worldwide and states that Tesla's autonomous technologies aim to reduce fatalities by making roads safer for drivers, passengers, and pedestrians."
Tesla,2023,Autonomy and Quality of Life,"Tesla asserts that autonomy will save lives, time, and money while improving quality of life by reducing unsafe, repetitive tasks in both homes and workplaces."
Tesla,2023,Emission Avoidance from EVs,"Tesla reports that a U.S. Tesla vehicle avoids an average of 52 metric tons of CO2e over its lifetime, noting EV emissions decrease over time as electricity grids become cleaner."
Tesla,2023,Industrial Transport Electrification,"The report states that electrifying heavy-duty trucking with the Tesla Semi is critical to reducing transport emissions and achieving sustainable industrial logistics."
Tesla,2023,Supercharger Network Reliability,"Tesla reports a 99.95% average uptime for Supercharger sites in 2024, enabling reliable long-distance travel and supporting emissions-free mobility."
Tesla,2023,Safety Performance,"Tesla reports 6.5 vehicle fires per billion miles driven, positioning its vehicles as significantly safer than the U.S. national average."
Tesla,2023,Autopilot Accident Reduction,"The report shows Autopilot technology results in far fewer accidents per million miles driven compared with both driving without Autopilot and the U.S. national average."
Tesla,2023,Energy Storage and Grid Stability,"Tesla's Megapack and Powerwall systems provided grid-support services globally, including 2.8 GWh of energy delivered through Virtual Power Plants in 2024."
Tesla,2023,Battery Recycling,"Tesla reports significant battery-recycling achievements, including 1.7 GWh of material processed and 590 metric tons of recovered materials."
Coca-Cola,2024,Water Replenishment Performance,"Coca-Cola reports replenishing 163% of the water used in its finished beverages globally in 2024, continuing a trend of exceeding 100% replenishment every year since 2015."
Coca-Cola,2024,Water Efficiency,"Water efficiency across the Coca-Cola system improved 10% in 2024 compared with a 2015 baseline, with a system-wide water-use ratio of 1.78 liters of water per liter of product."
Coca-Cola,2024,Recycled Packaging Content,"Coca-Cola used 28% recycled material in its global primary consumer packaging in 2024, including 18% recycled PET."
Coca-Cola,2024,Packaging Recyclability,"The report states that 99% of Coca-Cola’s primary consumer packaging was recyclable globally in 2024."
Coca-Cola,2024,Reusable Packaging,"In 2024, 14% of Coca-Cola’s total beverage volume was served in reusable packaging, with sales of reusable packaging increasing by 24 million unit cases from 2023."
Coca-Cola,2024,Collection Rates,"Coca-Cola collected and refilled or recycled 65% of the equivalent bottles and cans it introduced into the market in 2024."
Coca-Cola,2024,Renewable Energy Use,"Coca-Cola system-wide renewable electricity use reached 28% in 2024."
Coca-Cola,2024,Scope 1 Emissions,"Coca-Cola reported total Scope 1 emissions of 474,413 metric tons of CO2e in 2024, noting that expanded reporting boundaries make year-over-year comparisons not applicable."
Coca-Cola,2024,Scope 2 Emissions,"In 2024, Coca-Cola reported 812,050 metric tons of CO2e under the market-based method for Scope 2 emissions."
Coca-Cola,2024,Franchise Manufacturing Emissions,"Coca-Cola system franchise manufacturing energy emissions were 4,538,363 metric tons of CO2e (location-based) in 2024."
